y_px,x_px,sigma_px,height_nm,mean_nm,baseline_nm,area_px,x_nm,y_nm,method
119.0,235.0,2.923192024230957,802.1581420898438,782.3574829101562,432.03009033203125,57,1376.953125,697.265625,baseline
437.0,395.0,1.9615960121154785,675.393310546875,817.3094482421875,307.472900390625,21,2314.453125,2560.546875,baseline
175.0,134.0,2.923192024230957,606.2822265625,776.1690063476562,455.3939208984375,57,785.15625,1025.390625,baseline
371.0,93.0,3.8847882747650146,730.2579345703125,747.3736572265625,429.392578125,97,544.921875,2173.828125,baseline
494.0,144.0,2.923192024230957,694.8894653320312,730.319580078125,363.46136474609375,57,843.75,2894.53125,baseline
255.0,157.0,2.923192024230957,674.0708618164062,679.1318359375,258.24127197265625,57,919.921875,1494.140625,baseline
469.0,247.0,2.923192024230957,744.6668090820312,630.3474731445312,258.34222412109375,57,1447.265625,2748.046875,baseline
441.0,450.0,2.923192024230957,760.31396484375,713.1864624023438,335.0137939453125,57,2636.71875,2583.984375,baseline
483.0,165.0,1.9615960121154785,669.70703125,825.5928955078125,351.28173828125,21,966.796875,2830.078125,baseline
427.0,31.0,2.923192024230957,819.2769165039062,796.6657104492188,364.43585205078125,57,181.640625,2501.953125,baseline
413.0,287.0,2.923192024230957,698.119384765625,802.7203369140625,447.1558837890625,57,1681.640625,2419.921875,baseline
368.0,459.0,2.923192024230957,786.9742431640625,762.5090942382812,446.9656982421875,57,2689.453125,2156.25,baseline
130.0,104.0,1.9615960121154785,741.2801513671875,783.5165405273438,309.3594970703125,21,609.375,761.71875,baseline
51.0,20.0,3.8847882747650146,733.3364868164062,726.03173828125,420.09246826171875,97,117.1875,298.828125,baseline
80.0,93.0,2.923192024230957,683.316650390625,638.7185668945312,268.93402099609375,57,544.921875,468.75,baseline
133.0,65.0,2.923192024230957,587.634033203125,727.73779296875,422.14447021484375,57,380.859375,779.296875,baseline
346.0,192.0,1.9615960121154785,611.5250244140625,974.6563720703125,526.2952880859375,21,1125.0,2027.34375,baseline
45.0,434.0,2.923192024230957,734.5999755859375,717.5591430664062,353.4913330078125,57,2542.96875,263.671875,baseline
312.0,511.0,4.846384048461914,694.4468994140625,652.9588623046875,333.6966552734375,79,2994.140625,1828.125,baseline
353.0,347.0,2.923192024230957,652.3687133789062,750.2655029296875,421.06207275390625,57,2033.203125,2068.359375,baseline
0.0,131.0,4.846384048461914,573.9338684082031,710.2484741210938,440.4598083496094,79,767.578125,0.0,baseline
366.0,44.0,2.923192024230957,732.0673217773438,735.1538696289062,386.65655517578125,57,257.8125,2144.53125,baseline
451.0,199.0,1.9615960121154785,649.0939331054688,889.3895874023438,501.25616455078125,21,1166.015625,2642.578125,baseline
394.0,175.0,2.923192024230957,655.2451171875,637.958740234375,297.700927734375,57,1025.390625,2308.59375,baseline
258.0,470.0,2.923192024230957,638.686279296875,623.1417236328125,300.728515625,57,2753.90625,1511.71875,baseline
288.0,122.0,2.923192024230957,680.2544555664062,766.3140258789062,428.25091552734375,57,714.84375,1687.5,baseline
158.0,272.0,2.923192024230957,647.6630554199219,576.5919799804688,235.30679321289062,57,1593.75,925.78125,baseline
